Area,Period,SOC,Occupation Title,Base Year,Projected Year,Change,Percent,Total Annual Openings,Growth Annual Openings,Replacement Annual Openings
6,2012-2022,' 31-9094,Medical Transcriptionists,130,130,0,0%,0,0,0
6,2012-2022,' 31-9095,Pharmacy Aides,90,90,0,0%,0,0,0
6,2012-2022,' 31-9097,Phlebotomists,120,140,20,16.7%,0,0,0
6,2012-2022,' 31-9099,"Healthcare Support Workers, All Other",220,250,30,13.6%,0,0,0
6,2012-2022,' 33-0000,Protective Service Occupations,7660,7710,50,0.7%,250,20,230
6,2012-2022,' 33-1000,Supervisors of Protective Service Workers,1060,1070,10,0.9%,40,0,40
6,2012-2022,' 33-1012,First-Line Supervisors of Police and Detectives,470,470,0,0%,10,0,10
6,2012-2022,' 33-1021,First-Line Supervisors of Fire Fighting and Prevention Workers,320,320,0,0%,10,0,10
6,2012-2022,' 33-2000,Fire Fighting and Prevention Workers,930,930,0,0%,30,0,30
6,2012-2022,' 33-2011,Firefighters,870,880,10,1.1%,20,0,20
6,2012-2022,' 33-3000,Law Enforcement Workers,4340,4250,-90,-2.1%,120,0,120
6,2012-2022,' 33-3011,Bailiffs,140,140,0,0%,0,0,0
6,2012-2022,' 33-3021,Detectives and Criminal Investigators,130,130,0,0%,0,0,0
6,2012-2022,' 33-3051,Police and Sheriff's Patrol Officers,1970,1970,0,0%,60,0,60
6,2012-2022,' 33-9000,Other Protective Service Workers,1340,1460,120,9%,50,10,40
6,2012-2022,' 33-9011,Animal Control Workers,90,90,0,0%,0,0,0
6,2012-2022,' 33-9032,Security Guards,550,640,90,16.4%,20,10,10
6,2012-2022,' 33-9091,Crossing Guards,270,250,-20,-7.4%,0,0,0
6,2012-2022,' 33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",150,170,20,13.3%,10,0,10
6,2012-2022,' 33-9099,"Protective Service Workers, All Other",240,260,20,8.3%,20,0,20
6,2012-2022,' 35-0000,Food Preparation and Serving Related Occupations,16250,18150,1900,11.7%,790,190,600
6,2012-2022,' 35-1000,Supervisors of Food Preparation and Serving Workers,1380,1570,190,13.8%,60,20,40
6,2012-2022,' 35-1011,Chefs and Head Cooks,140,160,20,14.3%,0,0,0
6,2012-2022,' 35-1012,First-Line Supervisors of Food Preparation and Serving Workers,1240,1420,180,14.5%,60,20,40
6,2012-2022,' 35-2000,Cooks and Food Preparation Workers,3660,3970,310,8.5%,110,30,80
6,2012-2022,' 35-2011,"Cooks, Fast Food",360,360,0,0%,10,0,10
6,2012-2022,' 35-2012,"Cooks, Institution and Cafeteria",530,580,50,9.4%,20,10,10
6,2012-2022,' 35-2014,"Cooks, Restaurant",1120,1320,200,17.9%,40,20,20
6,2012-2022,' 35-2015,"Cooks, Short Order",330,340,10,3%,10,0,10
6,2012-2022,' 35-2021,Food Preparation Workers,1310,1340,30,2.3%,40,0,40
6,2012-2022,' 35-3000,Food and Beverage Serving Workers,9900,11180,1280,12.9%,540,130,410
6,2012-2022,' 35-3011,Bartenders,1210,1390,180,14.9%,70,20,50
6,2012-2022,' 35-3021,"Combined Food Preparation and Serving Workers, Including Fast Food",4940,5710,770,15.6%,270,80,190
6,2012-2022,' 35-3022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",700,710,10,1.4%,40,0,40
6,2012-2022,' 35-3031,Waiters and Waitresses,2420,2610,190,7.9%,140,20,120
6,2012-2022,' 35-3041,"Food Servers, Nonrestaurant",620,760,140,22.6%,30,10,20
6,2012-2022,' 35-9000,Other Food Preparation and Serving Related Workers,1310,1430,120,9.2%,80,10,70
6,2012-2022,' 35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,270,300,30,11.1%,10,0,10
6,2012-2022,' 35-9021,Dishwashers,790,860,70,8.9%,50,10,40
6,2012-2022,' 35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",250,270,20,8%,20,0,20
6,2012-2022,' 37-0000,Building and Grounds Cleaning and Maintenance Occupations,8380,9220,840,10%,250,80,170
6,2012-2022,' 37-1000,Supervisors of Building and Grounds Cleaning and Maintenance Workers,530,580,50,9.4%,20,10,10
7,2012-2022,' 43-4011,Brokerage Clerks,7340,6410,-930,-12.7%,190,0,190
6,2012-2022,' 37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,370,400,30,8.1%,10,0,10
6,2012-2022,' 37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",160,180,20,12.5%,0,0,0
6,2012-2022,' 37-2000,Building Cleaning and Pest Control Workers,6350,7020,670,10.6%,190,70,120
6,2012-2022,' 37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",4150,4540,390,9.4%,120,40,80
6,2012-2022,' 37-2012,Maids and Housekeeping Cleaners,2090,2360,270,12.9%,70,30,40
6,2012-2022,' 37-3000,Grounds Maintenance Workers,1500,1620,120,8%,50,10,40
6,2012-2022,' 37-3011,Landscaping and Groundskeeping Workers,1220,1300,80,6.6%,40,10,30
6,2012-2022,' 39-0000,Personal Care and Service Occupations,11220,13200,1980,17.6%,410,200,210
6,2012-2022,' 39-1000,Supervisors of Personal Care and Service Workers,430,510,80,18.6%,20,10,10
6,2012-2022,' 39-1021,First-Line Supervisors of Personal Service Workers,410,470,60,14.6%,20,10,10
6,2012-2022,' 39-2000,Animal Care and Service Workers,260,290,30,11.5%,0,0,0
6,2012-2022,' 39-3000,Entertainment Attendants and Related Workers,290,340,50,17.2%,20,10,10
6,2012-2022,' 39-3031,"Ushers, Lobby Attendants, and Ticket Takers",50,50,0,0%,0,0,0
6,2012-2022,' 39-3091,Amusement and Recreation Attendants,170,190,20,11.8%,10,0,10
6,2012-2022,' 39-4000,Funeral Service Workers,120,130,10,8.3%,0,0,0
6,2012-2022,' 39-4031,"Morticians, Undertakers, and Funeral Directors",60,70,10,16.7%,0,0,0
6,2012-2022,' 39-5000,Personal Appearance Workers,1000,1100,100,10%,30,10,20
6,2012-2022,' 39-5011,Barbers,60,60,0,0%,0,0,0
6,2012-2022,' 39-5012,"Hairdressers, Hairstylists, and Cosmetologists",770,850,80,10.4%,30,10,20
6,2012-2022,' 39-7011,Tour Guides and Escorts,90,90,0,0%,0,0,0
6,2012-2022,' 39-9000,Other Personal Care and Service Workers,9010,10710,1700,18.9%,330,170,160
6,2012-2022,' 39-9011,Childcare Workers,2340,2550,210,9%,90,20,70
6,2012-2022,' 39-9021,Personal Care Aides,4290,5560,1270,29.6%,160,130,30
6,2012-2022,' 39-9031,Fitness Trainers and Aerobics Instructors,300,320,20,6.7%,0,0,0
6,2012-2022,' 39-9032,Recreation Workers,1180,1260,80,6.8%,20,10,10
6,2012-2022,' 41-0000,Sales and Related Occupations,18320,18630,310,1.7%,630,50,580
6,2012-2022,' 41-1000,Supervisors of Sales Workers,2110,2140,30,1.4%,40,0,40
6,2012-2022,' 41-1011,First-Line Supervisors of Retail Sales Workers,1840,1880,40,2.2%,40,0,40
6,2012-2022,' 41-1012,First-Line Supervisors of Non-Retail Sales Workers,280,260,-20,-7.1%,0,0,0
6,2012-2022,' 41-2000,Retail Sales Workers,12260,12610,350,2.9%,500,40,460
6,2012-2022,' 41-2011,Cashiers,4920,4870,-50,-1%,210,0,210
6,2012-2022,' 41-2021,Counter and Rental Clerks,610,640,30,4.9%,20,0,20
6,2012-2022,' 41-2031,Retail Salespersons,6280,6620,340,5.4%,250,30,220
6,2012-2022,' 41-3000,"Sales Representatives, Services",1340,1320,-20,-1.5%,30,0,30
6,2012-2022,' 41-3011,Advertising Sales Agents,150,120,-30,-20%,0,0,0
6,2012-2022,' 41-3021,Insurance Sales Agents,470,460,-10,-2.1%,10,0,10
6,2012-2022,' 41-3031,"Securities, Commodities, and Financial Services Sales Agents",200,190,-10,-5%,10,0,10
6,2012-2022,' 41-3099,"Sales Representatives, Services, All Other",480,510,30,6.3%,10,0,10
6,2012-2022,' 41-4000,"Sales Representatives, Wholesale and Manufacturing",1780,1730,-50,-2.8%,40,0,40
6,2012-2022,' 41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",180,170,-10,-5.6%,0,0,0
6,2012-2022,' 41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",1600,1560,-40,-2.5%,30,0,30
6,2012-2022,' 41-9000,Other Sales and Related Workers,830,830,0,0%,10,0,10
6,2012-2022,' 41-9011,Demonstrators and Product Promoters,50,50,0,0%,0,0,0
6,2012-2022,' 41-9022,Real Estate Sales Agents,250,260,10,4%,0,0,0
6,2012-2022,' 41-9031,Sales Engineers,50,50,0,0%,0,0,0
6,2012-2022,' 41-9041,Telemarketers,60,60,0,0%,0,0,0
6,2012-2022,' 41-9099,"Sales and Related Workers, All Other",120,130,10,8.3%,0,0,0
6,2012-2022,' 43-0000,Office and Administrative Support Occupations,36190,36370,180,0.5%,900,130,770
6,2012-2022,' 43-1000,Supervisors of Office and Administrative Support Workers,2260,2410,150,6.6%,70,20,50
6,2012-2022,' 43-1011,First-Line Supervisors of Office and Administrative Support Workers,2260,2410,150,6.6%,70,20,50
6,2012-2022,' 43-2000,Communications Equipment Operators,270,240,-30,-11.1%,10,0,10
6,2012-2022,' 43-2011,"Switchboard Operators, Including Answering Service",220,190,-30,-13.6%,0,0,0
6,2012-2022,' 43-2021,Telephone Operators,50,50,0,0%,0,0,0
6,2012-2022,' 43-3000,Financial Clerks,6370,6650,280,4.4%,140,30,110
6,2012-2022,' 43-3011,Bill and Account Collectors,280,320,40,14.3%,10,0,10
6,2012-2022,' 43-3021,Billing and Posting Clerks,710,820,110,15.5%,20,10,10
6,2012-2022,' 43-3031,"Bookkeeping, Accounting, and Auditing Clerks",4030,4090,60,1.5%,50,10,40
6,2012-2022,' 43-3051,Payroll and Timekeeping Clerks,300,330,30,10%,10,0,10
6,2012-2022,' 43-3061,Procurement Clerks,110,120,10,9.1%,0,0,0
6,2012-2022,' 43-3071,Tellers,880,870,-10,-1.1%,40,0,40
6,2012-2022,' 43-4000,Information and Record Clerks,8580,8900,320,3.7%,270,50,220
6,2012-2022,' 43-4031,"Court, Municipal, and License Clerks",320,330,10,3.1%,10,0,10
6,2012-2022,' 43-4051,Customer Service Representatives,3810,4020,210,5.5%,120,20,100
6,2012-2022,' 43-4061,"Eligibility Interviewers, Government Programs",470,470,0,0%,10,0,10
6,2012-2022,' 43-4071,File Clerks,400,360,-40,-10%,10,0,10
6,2012-2022,' 43-4081,"Hotel, Motel, and Resort Desk Clerks",180,230,50,27.8%,10,0,10
6,2012-2022,' 43-4111,"Interviewers, Except Eligibility and Loan",430,430,0,0%,10,0,10
6,2012-2022,' 43-4121,"Library Assistants, Clerical",260,260,0,0%,10,0,10
6,2012-2022,' 43-4131,Loan Interviewers and Clerks,130,130,0,0%,0,0,0
6,2012-2022,' 43-4151,Order Clerks,160,150,-10,-6.3%,0,0,0
6,2012-2022,' 43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",220,210,-10,-4.5%,10,0,10
6,2012-2022,' 43-4171,Receptionists and Information Clerks,1580,1760,180,11.4%,60,20,40
6,2012-2022,' 43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,50,50,0,0%,0,0,0
6,2012-2022,' 43-4199,"Information and Record Clerks, All Other",100,90,-10,-10%,0,0,0
6,2012-2022,' 43-5000,"Material Recording, Scheduling, Dispatching, and Distributing Workers",5590,5200,-390,-7%,160,0,160
6,2012-2022,' 43-5021,Couriers and Messengers,100,80,-20,-20%,0,0,0
6,2012-2022,' 43-5031,"Police, Fire, and Ambulance Dispatchers",240,250,10,4.2%,10,0,10
6,2012-2022,' 43-5032,"Dispatchers, Except Police, Fire, and Ambulance",220,230,10,4.5%,10,0,10
6,2012-2022,' 43-5051,Postal Service Clerks,130,90,-40,-30.8%,0,0,0
6,2012-2022,' 43-5052,Postal Service Mail Carriers,500,360,-140,-28%,20,0,20
6,2012-2022,' 43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",120,80,-40,-33.3%,0,0,0
6,2012-2022,' 43-5061,"Production, Planning, and Expediting Clerks",520,500,-20,-3.8%,10,0,10
6,2012-2022,' 43-5071,"Shipping, Receiving, and Traffic Clerks",880,860,-20,-2.3%,20,0,20
6,2012-2022,' 43-5081,Stock Clerks and Order Fillers,2720,2590,-130,-4.8%,80,0,80
6,2012-2022,' 43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",110,110,0,0%,0,0,0
6,2012-2022,' 43-6000,Secretaries and Administrative Assistants,5660,6030,370,6.5%,110,40,70
6,2012-2022,' 43-6011,Executive Secretaries and Executive Administrative Assistants,670,640,-30,-4.5%,10,0,10
6,2012-2022,' 43-6012,Legal Secretaries,220,210,-10,-4.5%,0,0,0
6,2012-2022,' 43-6013,Medical Secretaries,280,360,80,28.6%,10,10,0
6,2012-2022,' 43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",4480,4810,330,7.4%,80,30,50
6,2012-2022,' 43-9000,Other Office and Administrative Support Workers,7460,6940,-520,-7%,150,0,150
6,2012-2022,' 43-9011,Computer Operators,140,100,-40,-28.6%,0,0,0
6,2012-2022,' 43-9021,Data Entry Keyers,480,340,-140,-29.2%,10,0,10
6,2012-2022,' 43-9022,Word Processors and Typists,640,440,-200,-31.3%,0,0,0
6,2012-2022,' 43-9031,Desktop Publishers,50,50,0,0%,0,0,0
6,2012-2022,' 43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",100,80,-20,-20%,0,0,0
6,2012-2022,' 43-9061,"Office Clerks, General",4200,4170,-30,-0.7%,90,0,90
6,2012-2022,' 45-0000,"Farming, Fishing, and Forestry Occupations",790,780,-10,-1.3%,20,0,20
6,2012-2022,' 45-2000,Agricultural Workers,610,640,30,4.9%,20,0,20
6,2012-2022,' 45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",430,470,40,9.3%,10,0,10
6,2012-2022,' 45-4000,"Forest, Conservation, and Logging Workers",140,110,-30,-21.4%,0,0,0
6,2012-2022,' 45-4022,Logging Equipment Operators,60,60,0,0%,0,0,0
6,2012-2022,' 47-0000,Construction and Extraction Occupations,8440,8730,290,3.4%,170,30,140
6,2012-2022,' 47-1000,Supervisors of Construction and Extraction Workers,720,740,20,2.8%,10,0,10
6,2012-2022,' 47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,720,740,20,2.8%,10,0,10
6,2012-2022,' 47-2000,Construction Trades Workers,5280,5490,210,4%,110,20,90
6,2012-2022,' 47-2031,Carpenters,1220,1190,-30,-2.5%,20,0,20
6,2012-2022,' 47-2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles",50,50,0,0%,0,0,0
6,2012-2022,' 47-2051,Cement Masons and Concrete Finishers,90,90,0,0%,0,0,0
6,2012-2022,' 47-2061,Construction Laborers,1890,1960,70,3.7%,50,10,40
6,2012-2022,' 47-2071,"Paving, Surfacing, and Tamping Equipment Operators",50,60,10,20%,0,0,0
6,2012-2022,' 47-2073,Operating Engineers and Other Construction Equipment Operators,490,510,20,4.1%,10,0,10
6,2012-2022,' 47-2081,Drywall and Ceiling Tile Installers,60,70,10,16.7%,0,0,0
6,2012-2022,' 47-2141,"Painters, Construction and Maintenance",300,340,40,13.3%,10,0,10
6,2012-2022,' 47-2152,"Plumbers, Pipefitters, and Steamfitters",230,250,20,8.7%,0,0,0
6,2012-2022,' 47-2181,Roofers,100,100,0,0%,0,0,0
6,2012-2022,' 47-3019,"Helpers, Construction Trades, All Other",50,60,10,20%,0,0,0
6,2012-2022,' 47-4000,Other Construction and Related Workers,2260,2290,30,1.3%,50,10,40
6,2012-2022,' 47-4011,Construction and Building Inspectors,290,290,0,0%,10,0,10
6,2012-2022,' 47-4051,Highway Maintenance Workers,1760,1760,0,0%,30,0,30
6,2012-2022,' 47-4071,Septic Tank Servicers and Sewer Pipe Cleaners,70,90,20,28.6%,0,0,0
6,2012-2022,' 49-0000,"Installation, Maintenance, and Repair Occupations",7850,8280,430,5.5%,230,50,180
6,2012-2022,' 49-1000,"Supervisors of Installation, Maintenance, and Repair Workers",690,720,30,4.3%,20,0,20
6,2012-2022,' 49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",690,720,30,4.3%,20,0,20
6,2012-2022,' 49-2000,"Electrical and Electronic Equipment Mechanics, Installers, and Repairers",560,550,-10,-1.8%,10,0,10
6,2012-2022,' 49-2011,"Computer, Automated Teller, and Office Machine Repairers",150,140,-10,-6.7%,0,0,0
6,2012-2022,' 49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",210,200,-10,-4.8%,0,0,0
6,2012-2022,' 49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",60,60,0,0%,0,0,0
6,2012-2022,' 49-3000,"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",2320,2470,150,6.5%,80,20,60
6,2012-2022,' 49-3011,Aircraft Mechanics and Service Technicians,110,130,20,18.2%,0,0,0
6,2012-2022,' 49-3021,Automotive Body and Related Repairers,180,200,20,11.1%,0,0,0
6,2012-2022,' 49-3023,Automotive Service Technicians and Mechanics,1250,1320,70,5.6%,40,10,30
6,2012-2022,' 49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,320,350,30,9.4%,10,0,10
6,2012-2022,' 49-3041,Farm Equipment Mechanics and Service Technicians,120,130,10,8.3%,0,0,0
6,2012-2022,' 49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",80,80,0,0%,0,0,0
6,2012-2022,' 49-3051,Motorboat Mechanics and Service Technicians,50,50,0,0%,0,0,0
6,2012-2022,' 49-3053,Outdoor Power Equipment and Other Small Engine Mechanics,70,70,0,0%,0,0,0
6,2012-2022,' 49-3093,Tire Repairers and Changers,60,60,0,0%,0,0,0
6,2012-2022,' 49-9000,"Other Installation, Maintenance, and Repair Occupations",4280,4550,270,6.3%,130,30,100
6,2012-2022,' 49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",430,440,10,2.3%,10,0,10
6,2012-2022,' 49-9041,Industrial Machinery Mechanics,300,340,40,13.3%,10,0,10
6,2012-2022,' 49-9043,"Maintenance Workers, Machinery",180,210,30,16.7%,0,0,0
6,2012-2022,' 49-9051,Electrical Power-Line Installers and Repairers,130,140,10,7.7%,10,0,10
6,2012-2022,' 49-9052,Telecommunications Line Installers and Repairers,280,250,-30,-10.7%,10,0,10
6,2012-2022,' 49-9071,"Maintenance and Repair Workers, General",2130,2310,180,8.5%,60,20,40
6,2012-2022,' 49-9098,"Helpers--Installation, Maintenance, and Repair Workers",250,260,10,4%,10,0,10
6,2012-2022,' 49-9099,"Installation, Maintenance, and Repair Workers, All Other",260,280,20,7.7%,0,0,0
6,2012-2022,' 51-0000,Production Occupations,12490,12460,-30,-0.2%,300,50,250
6,2012-2022,' 51-1000,Supervisors of Production Workers,860,830,-30,-3.5%,10,0,10
6,2012-2022,' 51-1011,First-Line Supervisors of Production and Operating Workers,860,830,-30,-3.5%,10,0,10
6,2012-2022,' 51-2000,Assemblers and Fabricators,2200,2230,30,1.4%,50,10,40
6,2012-2022,' 51-2022,Electrical and Electronic Equipment Assemblers,270,290,20,7.4%,0,0,0
6,2012-2022,' 51-2031,Engine and Other Machine Assemblers,130,120,-10,-7.7%,0,0,0
6,2012-2022,' 51-2041,Structural Metal Fabricators and Fitters,70,80,10,14.3%,0,0,0
6,2012-2022,' 51-2092,Team Assemblers,1490,1480,-10,-0.7%,20,0,20
6,2012-2022,' 51-2099,"Assemblers and Fabricators, All Other",120,140,20,16.7%,0,0,0
6,2012-2022,' 51-3000,Food Processing Workers,810,850,40,4.9%,30,10,20
6,2012-2022,' 51-3011,Bakers,240,260,20,8.3%,10,0,10
6,2012-2022,' 51-3021,Butchers and Meat Cutters,150,140,-10,-6.7%,0,0,0
6,2012-2022,' 51-3092,Food Batchmakers,160,170,10,6.3%,10,0,10
6,2012-2022,' 51-3093,Food Cooking Machine Operators and Tenders,80,80,0,0%,0,0,0
6,2012-2022,' 51-4000,Metal Workers and Plastic Workers,2920,2990,70,2.4%,80,20,60
6,2012-2022,' 51-4011,"Computer-Controlled Machine Tool Operators, Metal and Plastic",510,600,90,17.6%,20,10,10
6,2012-2022,' 51-4012,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",90,110,20,22.2%,0,0,0
6,2012-2022,' 51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",200,180,-20,-10%,0,0,0
6,2012-2022,' 51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",70,70,0,0%,0,0,0
6,2012-2022,' 51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",260,240,-20,-7.7%,0,0,0
6,2012-2022,' 51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",120,100,-20,-16.7%,0,0,0
6,2012-2022,' 51-4041,Machinists,580,660,80,13.8%,20,10,10
6,2012-2022,' 51-4052,"Pourers and Casters, Metal",70,60,-10,-14.3%,0,0,0
6,2012-2022,' 51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",210,200,-10,-4.8%,0,0,0
6,2012-2022,' 51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",90,80,-10,-11.1%,0,0,0
6,2012-2022,' 51-4111,Tool and Die Makers,100,100,0,0%,0,0,0
6,2012-2022,' 51-4121,"Welders, Cutters, Solderers, and Brazers",230,240,10,4.3%,10,0,10
6,2012-2022,' 51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",50,50,0,0%,0,0,0
6,2012-2022,' 51-4193,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",80,70,-10,-12.5%,0,0,0
6,2012-2022,' 51-5100,Printing Workers,390,350,-40,-10.3%,10,0,10
6,2012-2022,' 51-5111,Prepress Technicians and Workers,80,60,-20,-25%,0,0,0
6,2012-2022,' 51-5112,Printing Press Operators,290,260,-30,-10.3%,10,0,10
6,2012-2022,' 51-6000,"Textile, Apparel, and Furnishings Workers",1400,1300,-100,-7.1%,30,10,20
6,2012-2022,' 51-6011,Laundry and Dry-Cleaning Workers,480,520,40,8.3%,20,10,10
6,2012-2022,' 51-6021,"Pressers, Textile, Garment, and Related Materials",100,100,0,0%,0,0,0
6,2012-2022,' 51-6031,Sewing Machine Operators,290,270,-20,-6.9%,0,0,0
6,2012-2022,' 51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",210,140,-70,-33.3%,0,0,0
6,2012-2022,' 51-7000,Woodworkers,300,350,50,16.7%,10,0,10
6,2012-2022,' 51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",110,130,20,18.2%,0,0,0
6,2012-2022,' 51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",110,130,20,18.2%,0,0,0
6,2012-2022,' 51-8000,Plant and System Operators,480,480,0,0%,20,0,20
6,2012-2022,' 51-8021,Stationary Engineers and Boiler Operators,90,90,0,0%,0,0,0
6,2012-2022,' 51-8031,Water and Wastewater Treatment Plant and System Operators,280,290,10,3.6%,10,0,10
6,2012-2022,' 51-9000,Other Production Occupations,3130,3090,-40,-1.3%,80,10,70
6,2012-2022,' 51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",50,50,0,0%,0,0,0
6,2012-2022,' 51-9022,"Grinding and Polishing Workers, Hand",50,50,0,0%,0,0,0
6,2012-2022,' 51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",90,90,0,0%,0,0,0
6,2012-2022,' 51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",60,50,-10,-16.7%,0,0,0
6,2012-2022,' 51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",80,80,0,0%,0,0,0
6,2012-2022,' 51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",660,650,-10,-1.5%,10,0,10
6,2012-2022,' 51-9111,Packaging and Filling Machine Operators and Tenders,550,550,0,0%,10,0,10
6,2012-2022,' 51-9121,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",190,170,-20,-10.5%,0,0,0
6,2012-2022,' 51-9123,"Painting, Coating, and Decorating Workers",80,60,-20,-25%,0,0,0
6,2012-2022,' 51-9151,Photographic Process Workers and Processing Machine Operators,100,100,0,0%,0,0,0
6,2012-2022,' 51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",80,80,0,0%,0,0,0
6,2012-2022,' 51-9196,"Paper Goods Machine Setters, Operators, and Tenders",160,140,-20,-12.5%,0,0,0
6,2012-2022,' 51-9198,Helpers--Production Workers,510,510,0,0%,10,0,10
6,2012-2022,' 51-9199,"Production Workers, All Other",90,100,10,11.1%,0,0,0
6,2012-2022,' 53-0000,Transportation and Material Moving Occupations,14800,15490,690,4.7%,410,80,330
6,2012-2022,' 53-1000,Supervisors of Transportation and Material Moving Workers,670,700,30,4.5%,20,0,20
6,2012-2022,' 53-1021,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",300,320,20,6.7%,10,0,10
6,2012-2022,' 53-1031,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,370,390,20,5.4%,10,0,10
6,2012-2022,' 53-3000,Motor Vehicle Operators,6880,7260,380,5.5%,150,40,110
6,2012-2022,' 53-3021,"Bus Drivers, Transit and Intercity",350,380,30,8.6%,10,0,10
6,2012-2022,' 53-3022,"Bus Drivers, School or Special Client",1590,1660,70,4.4%,40,10,30
6,2012-2022,' 53-3031,Driver/Sales Workers,620,640,20,3.2%,10,0,10
6,2012-2022,' 53-3032,Heavy and Tractor-Trailer Truck Drivers,2210,2370,160,7.2%,60,20,40
6,2012-2022,' 53-3033,Light Truck or Delivery Services Drivers,1360,1340,-20,-1.5%,20,0,20
6,2012-2022,' 53-3041,Taxi Drivers and Chauffeurs,690,790,100,14.5%,20,10,10
6,2012-2022,' 53-4000,Rail Transportation Workers,50,50,0,0%,0,0,0
6,2012-2022,' 53-6000,Other Transportation Workers,270,330,60,22.2%,20,10,10
6,2012-2022,' 53-6031,Automotive and Watercraft Service Attendants,140,160,20,14.3%,0,0,0
6,2012-2022,' 53-7000,Material Moving Workers,6890,7110,220,3.2%,220,30,190
6,2012-2022,' 53-7021,Crane and Tower Operators,100,100,0,0%,0,0,0
6,2012-2022,' 53-7051,Industrial Truck and Tractor Operators,470,430,-40,-8.5%,10,0,10
6,2012-2022,' 53-7061,Cleaners of Vehicles and Equipment,420,450,30,7.1%,10,0,10
6,2012-2022,' 53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",3490,3680,190,5.4%,130,20,110
6,2012-2022,' 53-7063,Machine Feeders and Offbearers,540,520,-20,-3.7%,10,0,10
6,2012-2022,' 53-7064,"Packers and Packagers, Hand",1480,1460,-20,-1.4%,40,0,40
6,2012-2022,' 53-7081,Refuse and Recyclable Material Collectors,310,380,70,22.6%,20,10,10
7,2012-2022,' 00-0000,"Total, All Occupations",4177490,4729880,552390,13.2%,152450,57860,94590
7,2012-2022,' 11-0000,Management Occupations,241000,269430,28430,11.8%,7850,2980,4870
7,2012-2022,' 11-1000,Top Executives,69160,79470,10310,14.9%,2350,1030,1320
7,2012-2022,' 11-1011,Chief Executives,9350,10080,730,7.8%,270,70,200
7,2012-2022,' 11-1021,General and Operations Managers,59610,69190,9580,16.1%,2080,960,1120
7,2012-2022,' 11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",27150,31000,3850,14.2%,1010,390,620
7,2012-2022,' 11-2011,Advertising and Promotions Managers,3720,4350,630,16.9%,180,60,120
7,2012-2022,' 11-2021,Marketing Managers,8620,9970,1350,15.7%,330,140,190
7,2012-2022,' 11-2022,Sales Managers,10180,11200,1020,10%,320,100,220
